Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
10118169	Teclado Mars Gaming FRGB Switch Híbrido Negro (MK02ES)	PVM	7	0			0	MK02ES	1	1			Periféricos>Teclados>Teclados gaming	https://cluster.binarycanarias.com/img/cp-10118169.jpg	100207711
10118252	"Apple MacBook Air M2 13.6"" 8Gb 512SSD Azul (MLY43Y/A)"	PVM	7	0			5.45	MLY43Y/A	1	2			Ordenadores portátiles>Notebooks / Ordenadores portátiles>De 13 a 14.3 pulgadas	https://cluster.binarycanarias.com/img/cp-10118252.jpg	-1
10118325	S.A.I. NILOX Premium online 3600va Rack(NXGCOL3K6RT6X9)	PVM	7	0			0	NXGCOL3K6RT6X9	1	1			Periféricos>SAIs y regletas>SAIs (UPS)	https://cluster.binarycanarias.com/img/cp-10118325.jpg	-1
10118411	Reproductor CD DENVER MP3 Usb FM Blanco(TCU-211WHITE)	PVM	7	0			0	TCU-211WHITE	2	4			Multimedia>Sonido>Varios (sonido)	https://cluster.binarycanarias.com/img/cp-10118411.jpg	-1
10118416	Radio cassette DENVER CD-R/RW FM Negro (TCP-40 BLACK)	PVM	7	0			0	TCP-40 BLACK	2	4			Multimedia>Sonido>Varios (sonido)	https://cluster.binarycanarias.com/img/cp-10118416.jpg	-1
10118526	"Monitor Samsung 32"" WLED UHD 4K 2HDMI (LU32J590UQRXEN)"	PVM	7	0		11/11/2022	0	LU32J590UQRXEN	0	0			Periféricos>Monitores>Hasta 32 pulgadas	https://cluster.binarycanarias.com/img/cp-10118526.jpg	-1
10118636	"Funda CASE LOGIC Ibira Sleeve 15.6"" Azul (3204397)"	PVM	7	0		11/11/2022	0	3204397	0	0			Ordenadores portátiles>Maletines>Fundas		-1
10251643	Modulo DDR3 1333MHz 2Gb SODIMM (KVR13S9S6/2)	PVM	7	0			0	KVR13S9S6/2	8	10			Integración>Memorias>Sodimm DDR3	https://cluster.binarycanarias.com/img/cp-10251643.jpg	21132641
10100671	Virtuix Omni Shoes-45 (VF0003-12)	PVM	7	0			0	VF0003-12	4	4			Hogar / Electrónica consumo>Ocio>Realidad Virual	https://cluster.binarycanarias.com/img/cp-10100671.jpg	-1
10101370	"Monitor Approx Táctil 19"" VGA USB Negro (APPMT19W5)"	PVM	7	0			0	APPMT19W5	4	6			Terminales TPV>Terminal punto venta (TPV)>Monitores y display para TPV	https://cluster.binarycanarias.com/img/cp-10101370.jpg	72827252
10101396	DEVOLO DLAN 550 Wifi Network Kit PLC (9644)	PVM	7	0			0	9644	10	10			Redes y CCTV>WiFi>Puntos de acceso	https://cluster.binarycanarias.com/img/cp-10101396.jpg	38719421
10101784	Caja RASPBERRY Pi 4 Negro/Gris (1876752)	PVM	7	0			0	1876752	9	10			Ordenadores>RASPBERRY Pi>Accesorios Raspberry	https://cluster.binarycanarias.com/img/cp-10101784.jpg	-1
10102031	Toner retornable LEXMARK T-650/652/654 (0T650A11E)	PVM	7	30			0	0T650A11E	1	3			Consumibles impresión>Toner Marcas>Toner otras marcas	https://cluster.binarycanarias.com/img/cp-10102031.jpg	3349571
10102452	"Soporte EQUIP para mesa 13-27"" inclina/Gira (EQ650151)"	PVM	7	0			0	EQ650151	7	10			Imagen y sonido>Soportes TV>Hasta 32 pulgadas	https://cluster.binarycanarias.com/img/cp-10102452.jpg	62326935
10106860	Switch TP-LINK 24p Gigabit PoE+ / 2p SFP (TL-SG2428P)	PVM	7	0			0	TL-SG2428P	3	4			Redes y CCTV>Switch y routers>Switch 10/100/1000	https://cluster.binarycanarias.com/img/cp-10106860.jpg	80490956
10106776	Monacor Micrófono de solapa jack 3.5mm (ECM-821LT)	PVM	7	30			0	ECM-821LT	10	10			Multimedia>Sonido>Auriculares y micrófonos	https://cluster.binarycanarias.com/img/cp-10106776.jpg	-1
10107873	Latiguillo AISENS RJ45 Cat6 UTP 2m Blanco (A135-0251)	PVM	7	0			0	A135-0251	10	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-10107873.jpg	70325811
10107884	Cable AISENS USB3.1 C/M-A/H 15cm Negro (A107-0062)	PVM	7	0			0	A107-0062	4	10			Periféricos>Cables>Datos	https://cluster.binarycanarias.com/img/cp-10107884.jpg	70326936
50258597	Tinta BROTHER Pack 4 colores XL (LC129XL/125XLVALBP)	PVM	7	0			0	LC129XLVALBP	2	2			Consumibles impresión>Tintas Marcas>Tintas Brother	https://cluster.binarycanarias.com/img/cp-50258597.jpg	19846197
10359233	Pendrive SANDISK Ultra USB 3.0 64Gb (SDCZ48-064G-U46)	PVM	7	0			0.24	SDCZ48-064G-U46	0	10			Periféricos>Pendrive>64Gb	https://cluster.binarycanarias.com/img/cp-10359233.jpg	19166765
